Report

n; k; seed; Algorithm; edge_density; Trials
1000; 494505.0; None; MVA; 0.99; 10

---
## Time - Output Parameters
; mean; std
t_expand_cliques;      0.009377466415780;      0.001810223251989
t_merge_cliques;      0.011603146361379;      0.002680641280499
total;      0.020980612777160;      0.003047056903756
nodes;   1000.000000000000000;      0.000000000000000
edges; 491469.200000000011642;   2327.563475682958142

---
## Clique trees


; mean; std
num;      2.700000000000000;      1.059349905471380
min_size;      6.400000000000000;      4.526465385804788
max_size;    991.899999999999977;      2.378141197564929
sum_size;   1000.600000000000023;      0.843274042711568
avg_size;    411.889999999999986;    120.218432934737393
sum_weight;      0.600000000000000;      0.843274042711568
avg_weight;      0.000001219370258;      0.000001712706697
num_edges; 491469.200000000011642;   2327.563475682958142
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
