Report

n; k; seed; Algorithm; version; Trials
1000; 20; None; SHET; AlgorithmVersion.Index; 10

---
## Time - Output Parameters
; mean; std
t_real_tree;      0.007842451163261;      0.002111525017435
t_subtrees_2;      0.170429740092689;      0.021327402288734
t_ctree;      0.237711172982967;      0.055021212841375
t_chordal;      0.134047393416701;      0.021697626866463
t_forestverify;      0.071066945863795;      0.009329442039176
ncc;      1.700000000000000;      0.674948557710553
total;      0.415983364238917;      0.072011020106749
ratio[total/chordal];      3.110388134739453;      0.280321889475772
ratio[total/forest];      5.889824818670749;      1.003048456960863
ratio[total/[chordal+forest]];      2.030064638607624;      0.220793274973926
nodes;   1000.000000000000000;      0.000000000000000
edges;  69517.800000000002910;  10246.905612048069088
edge_density;      0.139174774774775;      0.020514325549646

---
## Clique trees


; mean; std
num;   1000.000000000000000;      0.000000000000000
min_size;      0.000000000000000;      0.000000000000000
max_size;    186.000000000000000;     39.271137266728374
sum_size;  18965.299999999999272;   1692.425153441061411
avg_size;     18.965299999999999;      1.692425153441061
sum_weight;  17965.299999999999272;   1692.425153441061411
avg_weight;     17.983283283283285;      1.694119272713775
num_edges;    999.000000000000000;      0.000000000000000
width;     10.199999999999999;      1.686548085423136
height;     13.300000000000001;      1.418136492412176


; mean; std
num;     51.899999999999999;      5.704773829385740
min_size;     11.500000000000000;      7.763876465901411
max_size;    186.000000000000000;     39.271137266728374
sum_size;   3175.300000000000182;    249.366330258651118
avg_size;     61.788744716407869;      7.851427156933887
sum_weight;   2175.300000000000182;    249.366330258651118
avg_weight;     43.772436126287886;      6.493578589400102
num_edges;     50.200000000000003;      5.769652406245015
width;      4.900000000000000;      1.286683937707919
height;      7.900000000000000;      1.197218999737865
